,date,incident_id,state,n_killed,n_injured,total
62108,2015-03-22,311348,New Mexico,1,6,7
202242,2017-08-06,907857,California,0,7,7
197428,2017-07-09,886564,Virginia,0,7,7
33347,2014-08-24,180007,California,3,4,7
17581,2014-05-18,135904,Ohio,0,7,7
16598,2014-05-11,134238,Tennessee,0,7,7
15095,2014-04-29,130232,Georgia,1,6,7
62745,2015-03-27,314044,Florida,0,7,7
151,2013-07-26,491265,Florida,7,0,7
61348,2015-03-17,308687,California,3,4,7
158728,2016-11-27,711744,Missouri,0,7,7
161,2013-08-06,491609,Pennsylvania,3,4,7
232234,2018-02-11,1047761,Michigan,4,3,7
206,2013-09-22,480646,Kansas,1,6,7
158,2013-08-04,491473,California,3,4,7
171593,2017-02-12,773002,Missouri,1,6,7
24762,2014-07-05,154834,Virginia,0,7,7
30934,2014-08-10,172304,Louisiana,2,5,7
57,2013-04-24,485811,Illinois,6,1,7
29660,2014-08-03,168551,Texas,0,7,7
29525,2014-08-02,168169,Massachusetts,0,7,7
187231,2017-05-14,843078,Arkansas,1,6,7
218991,2017-11-16,989838,Georgia,0,7,7
163334,2016-12-25,734157,Illinois,3,4,7
192087,2017-06-09,864370,Texas,2,5,7
151104,2016-10-14,676376,Illinois,1,6,7
220171,2017-11-24,994323,Mississippi,1,6,7
56803,2015-02-07,289811,Georgia,5,2,7
28162,2014-07-25,163874,Illinois,1,6,7
136071,2016-07-17,604762,Louisiana,4,3,7
201340,2017-08-01,904026,California,0,7,7
204533,2017-08-20,916848,Illinois,2,5,7
146927,2016-09-17,657136,Florida,1,6,7
93,2013-06-02,487271,Virginia,0,7,7
202646,2017-08-08,909423,Illinois,1,6,7
138006,2016-07-29,617334,Georgia,0,7,7
53474,2015-01-11,276845,North Carolina,2,5,7
164496,2017-01-01,739766,Florida,0,7,7
16572,2014-05-11,134162,California,1,6,7
25476,2014-07-09,156670,Texas,6,1,7
148309,2016-09-26,663106,Texas,1,6,7
10349,2014-03-23,117914,California,0,7,7
139857,2016-08-08,624273,Florida,0,7,7
41,2013-03-21,483737,Illinois,0,7,7
177478,2017-03-21,799987,Texas,0,7,7
38,2013-03-16,482926,California,0,7,7
249,2013-11-25,495145,California,0,7,7
82830,2015-08-02,386140,Maryland,0,7,7
23622,2014-06-28,152960,California,0,7,7
94,2013-06-02,487435,Georgia,0,7,7
71704,2015-05-24,345749,Michigan,0,7,7
132300,2016-06-25,587755,Texas,2,5,7
153963,2016-10-30,688577,New York,2,5,7
30838,2014-08-10,172180,California,0,7,7
121707,2016-04-17,543108,Texas,1,6,7
125,2013-07-04,490351,Michigan,1,6,7
224,2013-10-21,481268,Pennsylvania,2,5,7
179738,2017-04-03,811089,Texas,0,7,7
115103,2016-03-06,517058,Massachusetts,1,6,7
